Video,t1Act1,t1Act2,t1ActAvg,t1Sent1,t1Sent2,t1SentAvg,t2Act1,t2Act2,t2ActAvg,t2Sent1,t2Sent2,t2SentAvg,t3Act1,t3Act2,t3ActAvg,t3Sent1,t3Sent2,t3SentAvg
2015 06 01 6,7,7,7.0,7,9,8.0,6.0,6,6.0,9.0,7,8.0,4.0,5.0,4.5,7.0,7.0,7.0
2015 06 01 7,8,7,7.5,0,1,0.5,8.0,5,6.5,2.0,3,2.5,6.0,7.0,6.5,3.0,3.0,3.0
2015 06 01 8,8,8,8.0,8,7,7.5,7.0,5,6.0,10.0,6,8.0,5.0,7.0,6.0,7.0,7.0,7.0
2015 06 01 9,6,7,6.5,3,6,4.5,6.0,6,6.0,8.0,4,6.0,4.0,6.0,5.0,4.0,4.0,4.0
2015 05 27 0,4,8,6.0,4,4,4.0,5.0,5,5.0,5.0,5,5.0,6.0,6.0,6.0,4.0,4.0,4.0
2015 05 27 1,6,8,7.0,3,3,3.0,6.0,6,6.0,4.0,4,4.0,6.0,6.0,6.0,4.0,4.0,4.0
2015 05 27 2,6,6,6.0,6,8,7.0,7.0,5,6.0,6.0,4,5.0,7.0,5.0,6.0,3.0,4.0,3.5
2015 05 27 3,8,6,7.0,0,2,1.0,9.0,8,8.5,2.0,3,2.5,6.0,8.0,7.0,2.0,3.0,2.5
2015 05 27 4,6,6,6.0,2,3,2.5,6.0,6,6.0,4.0,4,4.0,5.0,6.0,5.5,3.0,3.0,3.0
2015 05 27 5,6,6,6.0,3,3,3.0,6.0,6,6.0,3.0,3,3.0,6.0,6.0,6.0,4.0,4.0,4.0
2015 05 27 6,6,6,6.0,4,4,4.0,7.0,5,6.0,5.0,5,5.0,6.0,5.0,5.5,7.0,6.0,6.5
2015 05 27 7,3,4,3.5,5,5,5.0,5.0,5,5.0,5.0,5,5.0,2.0,3.0,2.5,5.0,5.0,5.0
2015 05 27 8,6,7,6.5,5,4,4.5,5.0,5,5.0,5.0,5,5.0,3.0,5.0,4.0,5.0,6.0,5.5
