,Video,t1Act1,t1Act2,t1ActAvg,t1Sent1,t1Sent2,t1SentAvg,t2Act1,t2Act2,t2ActAvg,t2Sent1,t2Sent2,t2SentAvg,t3Act1,t3Act2,t3ActAvg,t3Sent1,t3Sent2,t3SentAvg,Unnamed: 0,v1Act1,v1Act2,v1ActAvg,v1Sent1,v1Sent2,v1SentAvg,v2Act1,v2Act2,v2ActAvg,v2Sent1,v2Sent2,v2SentAvg,v3Act1,v3Act2,v3ActAvg,v3Sent1,v3Sent2,v3SentAvg
672,2016 04 19 2,6,6,6.0,8,8,8.0,8.0,5,6.5,5.0,7,6.0,6.0,6.0,6.0,7.0,7.0,7.0,2016 04 19 2,,,,,,,6.0,8.0,7.0,7.0,7.0,7.0,,,,,,
673,2016 04 19 3,6,7,6.5,5,5,5.0,5.0,5,5.0,5.0,5,5.0,4.0,4.0,4.0,5.0,5.0,5.0,2016 04 19 3,5.0,,5.0,6.0,,6.0,5.0,,5.0,5.0,,5.0,,,,,,
674,2016 04 19 4,6,6,6.0,3,2,2.5,7.0,6,6.5,2.0,3,2.5,7.0,6.0,6.5,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,
675,2016 04 19 5,5,5,5.0,5,5,5.0,5.0,5,5.0,5.0,6,5.5,3.0,4.0,3.5,5.0,5.0,5.0,2016 04 19 5,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,
676,2016 04 19 6,6,7,6.5,4,3,3.5,5.0,6,5.5,5.0,4,4.5,7.0,7.0,7.0,4.0,4.0,4.0,2016 04 19 6,,,,,,,5.0,,5.0,5.0,,5.0,,,,,,
677,2016 04 19 7,7,7,7.0,3,7,5.0,8.0,6,7.0,1.0,5,3.0,7.0,7.0,7.0,3.0,3.0,3.0,2016 04 19 7,,,,,,,7.0,7.0,7.0,6.0,6.0,6.0,,,,,,
678,2016 04 19 8,5,6,5.5,4,6,5.0,6.0,6,6.0,6.0,7,6.5,6.0,5.0,5.5,4.0,4.0,4.0,2016 04 19 8,,,,,,,3.0,,3.0,6.0,,6.0,,,,,,
679,2016 04 19 9,6,6,6.0,6,7,6.5,5.0,5,5.0,5.0,6,5.5,4.0,5.0,4.5,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,
680,2016 04 14 0,7,7,7.0,4,4,4.0,6.0,6,6.0,5.0,6,5.5,6.0,5.0,5.5,4.0,5.0,4.5,,,,,,,,,,,,,,,,,,,
681,2016 04 14 1,7,7,7.0,4,3,3.5,8.0,6,7.0,5.0,4,4.5,7.0,7.0,7.0,4.0,4.0,4.0,2016 04 14 1,,,,,,,7.0,,7.0,3.0,,3.0,,,,,,
