,v1Act1,v1Act2,v1ActAvg,v1Sent1,v1Sent2,v1SentAvg,v2Act1,v2Act2,v2ActAvg,v2Sent1,v2Sent2,v2SentAvg,v3Act1,v3Act2,v3ActAvg,v3Sent1,v3Sent2,v3SentAvg,Video
2015 06 17 0,6.0,,6.0,4.0,,4.0,5.0,,5.0,5.0,,5.0,6.0,,6.0,4.0,,4.0,2015 06 17 0
2015 06 17 1,7.0,,7.0,3.0,,3.0,,,,,,,7.0,,7.0,4.0,,4.0,2015 06 17 1
2015 06 17 2,,,,,,,6.0,,6.0,6.0,,6.0,,,,,,,2015 06 17 2
2015 06 17 3,,,,,,,5.0,,5.0,7.0,,7.0,,,,,,,2015 06 17 3
2015 06 17 4,6.0,,6.0,5.0,,5.0,7.0,7.0,7.0,6.0,6.0,6.0,,,,,,,2015 06 17 4
2015 06 17 6,5.0,6.0,5.5,3.0,3.0,3.0,5.0,,5.0,3.0,,3.0,,,,,,,2015 06 17 6
2015 06 17 7,6.0,,6.0,2.0,,2.0,6.0,,6.0,2.0,,2.0,,,,,,,2015 06 17 7
2015 06 17 8,6.0,,6.0,3.0,,3.0,,,,,,,6.0,,6.0,2.0,,2.0,2015 06 17 8
2015 12 07 1,7.0,7.0,7.0,3.0,3.0,3.0,8.0,8.0,8.0,2.0,2.0,2.0,8.0,,8.0,3.0,,3.0,2015 12 07 1
2015 12 07 2,6.0,6.0,6.0,4.0,3.0,3.5,,,,,,,,,,,,,2015 12 07 2
2015 12 07 3,,,,,,,6.0,,6.0,4.0,,4.0,,,,,,,2015 12 07 3
2015 12 07 4,,,,,,,,,,,,,3.0,,3.0,5.0,,5.0,2015 12 07 4
2015 12 07 5,6.0,,6.0,4.0,,4.0,5.0,6.0,5.5,5.0,4.0,4.5,,,,,,,2015 12 07 5
