,v1Act1,v1Act2,v1ActAvg,v1Sent1,v1Sent2,v1SentAvg,v2Act1,v2Act2,v2ActAvg,v2Sent1,v2Sent2,v2SentAvg,v3Act1,v3Act2,v3ActAvg,v3Sent1,v3Sent2,v3SentAvg,Video
2017 11 20 8,8.0,7.0,7.5,1.0,1.0,1.0,7.0,,7.0,1.0,,1.0,,,,,,,2017 11 20 8
2017 11 20 9,6.0,5.0,5.5,3.0,4.0,3.5,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,4.0,5.0,,5.0,2017 11 20 9
2017 11 23 0,6.0,7.0,6.5,4.0,3.0,3.5,7.0,7.0,7.0,6.0,4.0,5.0,7.0,,7.0,6.0,,6.0,2017 11 23 0
2017 11 23 1,,,,,,,6.0,6.0,6.0,8.0,8.0,8.0,5.0,3.0,4.0,5.0,7.0,6.0,2017 11 23 1
2017 11 23 2,5.0,5.0,5.0,4.0,2.0,3.0,7.0,7.0,7.0,4.0,3.0,3.5,5.0,5.0,5.0,4.0,5.0,4.5,2017 11 23 2
2017 11 23 3,5.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,5.5,8.0,6.0,7.0,5.0,,5.0,5.0,,5.0,2017 11 23 3
2017 11 23 4,7.0,6.0,6.5,5.0,4.0,4.5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,6.0,5.0,,5.0,2017 11 23 4
2017 11 23 5,6.0,7.0,6.5,4.0,3.0,3.5,7.0,6.0,6.5,4.0,4.0,4.0,,,,,,,2017 11 23 5
2017 11 23 6,,,,,,,8.0,7.0,7.5,3.0,3.0,3.0,7.0,7.0,7.0,5.0,3.0,4.0,2017 11 23 6
2017 11 23 7,6.0,6.0,6.0,6.0,4.0,5.0,6.0,,6.0,4.0,,4.0,5.0,,5.0,5.0,,5.0,2017 11 23 7
2017 11 23 8,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,7.0,6.0,3.0,,3.0,5.0,,5.0,2017 11 23 8
2017 11 23 9,6.0,6.0,6.0,4.0,4.0,4.0,7.0,6.0,6.5,5.0,5.0,5.0,7.0,6.0,6.5,5.0,4.0,4.5,2017 11 23 9
2017 11 28 0,10.0,8.0,9.0,1.0,2.0,1.5,9.0,,9.0,7.0,,7.0,7.0,,7.0,7.0,,7.0,2017 11 28 0
2017 11 28 1,5.0,5.0,5.0,5.0,4.0,4.5,5.0,,5.0,5.0,,5.0,5.0,4.0,4.5,5.0,5.0,5.0,2017 11 28 1
2017 11 28 2,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.5,5.0,5.0,5.0,2017 11 28 2
2017 11 28 3,7.0,,7.0,3.0,,3.0,7.0,7.0,7.0,3.0,3.0,3.0,6.0,,6.0,5.0,,5.0,2017 11 28 3
2017 11 28 4,5.0,,5.0,5.0,,5.0,5.0,,5.0,6.0,,6.0,,,,,,,2017 11 28 4
2017 11 28 5,6.0,6.0,6.0,3.0,4.0,3.5,6.0,6.0,6.0,5.0,5.0,5.0,6.0,,6.0,5.0,,5.0,2017 11 28 5
2017 11 28 6,6.0,6.0,6.0,3.0,3.0,3.0,7.0,6.0,6.5,3.0,4.0,3.5,6.0,6.0,6.0,4.0,4.0,4.0,2017 11 28 6
2017 11 28 7,6.0,6.0,6.0,3.0,4.0,3.5,7.0,7.0,7.0,3.0,3.0,3.0,7.0,,7.0,2.0,,2.0,2017 11 28 7
2017 11 28 8,6.0,6.0,6.0,6.0,5.0,5.5,5.0,6.0,5.5,6.0,7.0,6.5,5.0,,5.0,6.0,,6.0,2017 11 28 8
2017 11 28 9,6.0,6.0,6.0,4.0,6.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,5.0,,5.0,5.0,,5.0,2017 11 28 9
2017 12 01 0,7.0,6.0,6.5,2.0,3.0,2.5,6.0,,6.0,4.0,,4.0,5.0,,5.0,4.0,,4.0,2017 12 01 0
2017 12 01 1,6.0,,6.0,4.0,,4.0,6.0,7.0,6.5,4.0,4.0,4.0,,,,,,,2017 12 01 1
2017 12 01 2,6.0,5.0,5.5,3.0,3.0,3.0,7.0,,7.0,3.0,,3.0,6.0,6.0,6.0,4.0,4.0,4.0,2017 12 01 2
2017 12 01 3,6.0,,6.0,3.0,,3.0,,,,,,,5.0,,5.0,4.0,,4.0,2017 12 01 3
2017 12 01 4,5.0,,5.0,4.0,,4.0,5.0,,5.0,4.0,,4.0,6.0,5.0,5.5,5.0,4.0,4.5,2017 12 01 4
2017 12 01 5,5.0,,5.0,6.0,,6.0,6.0,,6.0,6.0,,6.0,5.0,4.0,4.5,5.0,5.0,5.0,2017 12 01 5
2017 12 01 6,7.0,6.0,6.5,3.0,4.0,3.5,6.0,7.0,6.5,6.0,7.0,6.5,,,,,,,2017 12 01 6
2017 12 01 7,6.0,,6.0,3.0,,3.0,6.0,6.0,6.0,3.0,3.0,3.0,5.0,,5.0,4.0,,4.0,2017 12 01 7
2017 12 01 8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,8.0,7.0,,,,,,,2017 12 01 8
2017 12 01 9,5.0,,5.0,3.0,,3.0,6.0,,6.0,3.0,,3.0,5.0,,5.0,4.0,,4.0,2017 12 01 9
2017 12 05 0,6.0,6.0,6.0,3.0,3.0,3.0,7.0,7.0,7.0,4.0,3.0,3.5,6.0,,6.0,3.0,,3.0,2017 12 05 0
2017 12 05 1,7.0,,7.0,3.0,,3.0,7.0,7.0,7.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,2017 12 05 1
2017 12 05 2,6.0,6.0,6.0,4.0,5.0,4.5,6.0,,6.0,6.0,,6.0,6.0,6.0,6.0,7.0,5.0,6.0,2017 12 05 2
2017 12 05 3,4.0,5.0,4.5,5.0,4.0,4.5,5.0,5.0,5.0,6.0,6.0,6.0,5.0,,5.0,5.0,,5.0,2017 12 05 3
2017 12 05 4,6.0,,6.0,9.0,,9.0,7.0,7.0,7.0,9.0,9.0,9.0,5.0,,5.0,7.0,,7.0,2017 12 05 4
2017 12 05 5,5.0,3.0,4.0,8.0,7.0,7.5,5.0,6.0,5.5,6.0,8.0,7.0,5.0,5.0,5.0,6.0,6.0,6.0,2017 12 05 5
2017 12 05 6,10.0,9.0,9.5,0.0,1.0,0.5,9.0,9.0,9.0,1.0,1.0,1.0,7.0,8.0,7.5,2.0,2.0,2.0,2017 12 05 6
2017 12 05 7,6.0,6.0,6.0,3.0,4.0,3.5,6.0,7.0,6.5,5.0,5.0,5.0,6.0,,6.0,6.0,,6.0,2017 12 05 7
2017 12 05 8,7.0,7.0,7.0,4.0,4.0,4.0,,,,,,,6.0,8.0,7.0,7.0,8.0,7.5,2017 12 05 8
2017 12 05 9,3.0,5.0,4.0,6.0,7.0,6.5,6.0,5.0,5.5,7.0,6.0,6.5,,,,,,,2017 12 05 9
2017 12 08 0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,5.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2017 12 08 0
2017 12 08 1,6.0,7.0,6.5,3.0,3.0,3.0,,,,,,,6.0,,6.0,4.0,,4.0,2017 12 08 1
2017 12 08 2,7.0,,7.0,3.0,,3.0,7.0,,7.0,4.0,,4.0,,,,,,,2017 12 08 2
2017 12 08 3,5.0,6.0,5.5,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.5,3.0,3.0,3.0,2017 12 08 3
2017 12 08 4,,,,,,,7.0,,7.0,3.0,,3.0,6.0,,6.0,4.0,,4.0,2017 12 08 4
2017 12 08 5,,,,,,,5.0,5.0,5.0,5.0,6.0,5.5,4.0,,4.0,6.0,,6.0,2017 12 08 5
2017 12 08 6,5.0,5.0,5.0,5.0,5.0,5.0,6.0,,6.0,4.0,,4.0,5.0,,5.0,4.0,,4.0,2017 12 08 6
2017 12 08 7,6.0,,6.0,2.0,,2.0,6.0,,6.0,1.0,,1.0,5.0,,5.0,3.0,,3.0,2017 12 08 7
2017 12 08 8,4.0,5.0,4.5,5.0,5.0,5.0,5.0,6.0,5.5,8.0,8.0,8.0,,,,,,,2017 12 08 8
2017 12 08 9,6.0,5.0,5.5,6.0,4.0,5.0,6.0,,6.0,6.0,,6.0,5.0,5.0,5.0,6.0,5.0,5.5,2017 12 08 9
2017 12 1 0,,,,,,,6.0,6.0,6.0,5.0,4.0,4.5,,,,,,,2017 12 1 0
2017 12 1 1,6.0,,6.0,4.0,,4.0,6.0,7.0,6.5,3.0,3.0,3.0,,,,,,,2017 12 1 1
2017 12 1 2,,,,,,,7.0,,7.0,2.0,,2.0,,,,,,,2017 12 1 2
2017 12 1 3,,,,,,,6.0,,6.0,5.0,,5.0,5.0,6.0,5.5,4.0,4.0,4.0,2017 12 1 3
2017 12 1 5,5.0,,5.0,5.0,,5.0,,,,,,,,,,,,,2017 12 1 5
2017 12 1 6,6.0,6.0,6.0,4.0,4.0,4.0,7.0,7.0,7.0,8.0,8.0,8.0,,,,,,,2017 12 1 6
2017 12 1 7,,,,,,,6.0,5.0,5.5,2.0,2.0,2.0,,,,,,,2017 12 1 7
2017 12 1 8,,,,,,,5.0,5.0,5.0,8.0,8.0,8.0,,,,,,,2017 12 1 8
2017 12 1 9,5.0,,5.0,5.0,,5.0,5.0,,5.0,3.0,,3.0,,,,,,,2017 12 1 9
2017 12 13 0,8.0,,8.0,1.0,,1.0,8.0,8.0,8.0,2.0,2.0,2.0,7.0,8.0,7.5,3.0,2.0,2.5,2017 12 13 0
2017 12 13 1,,,,,,,7.0,,7.0,6.0,,6.0,6.0,5.0,5.5,6.0,5.0,5.5,2017 12 13 1
2017 12 13 2,7.0,7.0,7.0,3.0,3.0,3.0,8.0,,8.0,8.0,,8.0,,,,,,,2017 12 13 2
2017 12 13 3,9.0,8.0,8.5,1.0,2.0,1.5,9.0,9.0,9.0,2.0,1.0,1.5,7.0,,7.0,3.0,,3.0,2017 12 13 3
2017 12 13 4,10.0,,10.0,0.0,,0.0,,,,,,,10.0,,10.0,7.0,,7.0,2017 12 13 4
2017 12 13 5,6.0,7.0,6.5,3.0,3.0,3.0,,,,,,,6.0,,6.0,5.0,,5.0,2017 12 13 5
2017 12 13 6,6.0,,6.0,4.0,,4.0,5.0,6.0,5.5,6.0,7.0,6.5,,,,,,,2017 12 13 6
2017 12 13 7,,,,,,,8.0,9.0,8.5,2.0,2.0,2.0,,,,,,,2017 12 13 7
2017 12 13 8,6.0,,6.0,4.0,,4.0,6.0,6.0,6.0,4.0,4.0,4.0,5.0,,5.0,4.0,,4.0,2017 12 13 8
2017 12 13 9,,,,,,,5.0,5.0,5.0,2.0,1.0,1.5,,,,,,,2017 12 13 9
