Order,Video,Coder,Sentiment,Activation,Anger,Disgust,Fear,Surprise,Sadness,Happiness
3179,2017 06 06 5,JS,5,5,0,0,0,0,0,0
3180,2017 02 21 6,JS,5,5,0,0,0,0,0,0
3181,2017 02 07 5,JS,5,6,0,0,1,0,0,0
3182,2016 09 19 7,JS,5,6,0,0,0,0,0,0
3183,2016 10 18 9,JS,5,5,0,0,0,0,0,0
3184,2016 01 28 6,JS,5,6,0,0,0,0,0,0
3185,2016 01 28 4,JS,5,7,0,0,0,0,0,0
3186,2015 04 01 9,JS,5,6,1,0,0,0,0,0
3187,2015 04 29 7,JS,2,6,1,1,0,0,0,0
3188,2017 11 28 5,JS,5,6,0,0,0,0,0,0
3189,2017 11 28 3,JS,5,6,0,0,0,0,0,0
3190,2017 11 23 4,JS,5,6,0,0,0,0,0,0
3191,2017 04 12 7,JS,5,6,0,0,0,1,0,0
3192,2015 03 27 4,JS,1,6,1,0,0,0,0,0
3193,2015 05 12 3,JS,5,5,0,0,0,0,0,0
3194,2017 12 08 3,JS,3,5,1,1,0,1,0,0
3195,2017 12 13 1,JS,5,5,0,0,0,0,0,0
3196,2017 10 05 0,JS,5,6,0,0,0,0,0,0
3197,2015 05 15 1,JS,6,3,0,0,0,0,0,0
3198,2017 10 05 5,JS,5,5,0,0,0,0,0,0
3199,2017 10 02 3,JS,5,5,0,0,0,0,0,0
3200,2017 05 02 3,JS,7,6,0,0,0,0,0,0
3201,2017 05 10 9,JS,6,5,0,0,0,0,0,0
